1,Link Vella,90,432199M,Peter Xuereb,Apps & Educational Games for Children with Disabilities
2,Link Vella,90,432199M,Conrad Attard,Digital Health - Persuasive Technology - Pervasive Computing
3,Link Vella,90,432199M,Chris Porter,Human-Computer Interaction in Software Testing
4,Link Vella,90,432199M,Clyde Meli,Computer Security and Communications Issues in Automobiles
5,Link Vella,90,432199M,Joshua Ellul,Blockchain and/or Cryptocurrency and/or Smart Contracts
6,Link Vella,90,432199M,Lalit Garg,Hospital Admission Pattern Analysis - Bed Resource Requirement Forecasting - Allocation & Management
1,Nicole Cassar,88,123499M,Peter Xuereb,Apps & Educational Games for Children with Disabilities
2,Nicole Cassar,88,123499M,Conrad Attard,Digital Health - Persuasive Technology - Pervasive Computing
3,Nicole Cassar,88,123499M,Chris Porter,Human-Computer Interaction in Software Testing
4,Nicole Cassar,88,123499M,Clyde Meli,Computer Security and Communications Issues in Automobiles
5,Nicole Cassar,88,123499M,Joshua Ellul,Blockchain and/or Cryptocurrency and/or Smart Contracts
6,Nicole Cassar,88,123499M,Lalit Garg,Hospital Admission Pattern Analysis - Bed Resource Requirement Forecasting - Allocation & Management
1,Caoimhe Camilleri,78,432100L,Peter Xuereb,Apps & Educational Games for Children with Disabilities
2,Caoimhe Camilleri,78,432100L,Conrad Attard,Digital Health - Persuasive Technology - Pervasive Computing
3,Caoimhe Camilleri,78,432100L,Chris Porter,Human-Computer Interaction in Software Testing
4,Caoimhe Camilleri,78,432100L,Clyde Meli,Computer Security and Communications Issues in Automobiles
5,Caoimhe Camilleri,78,432100L,Joshua Ellul,Blockchain and/or Cryptocurrency and/or Smart Contracts
6,Caoimhe Camilleri,78,432100L,Lalit Garg,Hospital Admission Pattern Analysis - Bed Resource Requirement Forecasting - Allocation & Management
1,Connor Sant Fournier,74,313699M,Peter Xuereb,Apps & Educational Games for Children with Disabilities
2,Connor Sant Fournier,74,313699M,Conrad Attard,Digital Health - Persuasive Technology - Pervasive Computing
3,Connor Sant Fournier,74,313699M,Chris Porter,Human-Computer Interaction in Software Testing
4,Connor Sant Fournier,74,313699M,Clyde Meli,Computer Security and Communications Issues in Automobiles
5,Connor Sant Fournier,74,313699M,Joshua Ellul,Blockchain and/or Cryptocurrency and/or Smart Contracts
6,Connor Sant Fournier,74,313699M,Lalit Garg,Hospital Admission Pattern Analysis - Bed Resource Requirement Forecasting - Allocation & Management
1,Joshua Spiteri,70,143200L,Peter Xuereb,Apps & Educational Games for Children with Disabilities
2,Joshua Spiteri,70,143200L,Conrad Attard,Digital Health - Persuasive Technology - Pervasive Computing
3,Joshua Spiteri,70,143200L,Chris Porter,Human-Computer Interaction in Software Testing
4,Joshua Spiteri,70,143200L,Clyde Meli,Computer Security and Communications Issues in Automobiles
5,Joshua Spiteri,70,143200L,Joshua Ellul,Blockchain and/or Cryptocurrency and/or Smart Contracts
6,Joshua Spiteri,70,143200L,Lalit Garg,Hospital Admission Pattern Analysis - Bed Resource Requirement Forecasting - Allocation & Management
1,Joe Borg,68,123400L,Peter Xuereb,Apps & Educational Games for Children with Disabilities
2,Joe Borg,68,123400L,Conrad Attard,Digital Health - Persuasive Technology - Pervasive Computing
3,Joe Borg,68,123400L,Chris Porter,Human-Computer Interaction in Software Testing
4,Joe Borg,68,123400L,Clyde Meli,Computer Security and Communications Issues in Automobiles
5,Joe Borg,68,123400L,Joshua Ellul,Blockchain and/or Cryptocurrency and/or Smart Contracts
6,Joe Borg,68,123400L,Lalit Garg,Hospital Admission Pattern Analysis - Bed Resource Requirement Forecasting - Allocation & Management
1,Ian Grech,68,123498M,Peter Xuereb,Apps & Educational Games for Children with Disabilities
2,Ian Grech,68,123498M,Conrad Attard,Digital Health - Persuasive Technology - Pervasive Computing
3,Ian Grech,68,123498M,Chris Porter,Human-Computer Interaction in Software Testing
4,Ian Grech,68,123498M,Clyde Meli,Computer Security and Communications Issues in Automobiles
5,Ian Grech,68,123498M,Joshua Ellul,Blockchain and/or Cryptocurrency and/or Smart Contracts
6,Ian Grech,68,123498M,Lalit Garg,Hospital Admission Pattern Analysis - Bed Resource Requirement Forecasting - Allocation & Management
1,Jane Said,65,132400L,Peter Xuereb,Apps & Educational Games for Children with Disabilities
2,Jane Said,65,132400L,Conrad Attard,Digital Health - Persuasive Technology - Pervasive Computing
3,Jane Said,65,132400L,Chris Porter,Human-Computer Interaction in Software Testing
4,Jane Said,65,132400L,Clyde Meli,Computer Security and Communications Issues in Automobiles
5,Jane Said,65,132400L,Joshua Ellul,Blockchain and/or Cryptocurrency and/or Smart Contracts
6,Jane Said,65,132400L,Lalit Garg,Hospital Admission Pattern Analysis - Bed Resource Requirement Forecasting - Allocation & Management
